ortho	qx	af	elegans
OG0000000	QX1410.g1012.1, QX1410.g1019.1, QX1410.g10678.1, QX1410.g10698.1, QX1410.g10701.1, QX1410.g10800.1, QX1410.g10863.1, QX1410.g10870.1, QX1410.g10871.1, QX1410.g10875.1, QX1410.g11031.1, QX1410.g11079.1, QX1410.g11080.1, QX1410.g11085.1, QX1410.g11110.1, QX1410.g11258.1, QX1410.g11279.1, QX1410.g11364.1, QX1410.g11572.1, QX1410.g11723.1, QX1410.g11775.1, QX1410.g12860.1, QX1410.g12861.1, QX1410.g12862.1, QX1410.g12863.1, QX1410.g12953.1, QX1410.g13060.1, QX1410.g13064.1, QX1410.g13263.1, QX1410.g13532.1, QX1410.g13709.1, QX1410.g13733.1, QX1410.g13734.1, QX1410.g13766.1, QX1410.g13822.1, QX1410.g14217.1, QX1410.g14252.1, QX1410.g14377.1, QX1410.g14417.1, QX1410.g14577.1, QX1410.g14598.1, QX1410.g14678.1, QX1410.g14863.1, QX1410.g14894.1, QX1410.g15087.1, QX1410.g15169.1, QX1410.g15271.1, QX1410.g15485.1, QX1410.g15493.1, QX1410.g15661.1, QX1410.g15683.1, QX1410.g15789.1, QX1410.g15806.1, QX1410.g15834.1, QX1410.g1599.1, QX1410.g16001.1, QX1410.g16041.1, QX1410.g16094.1, QX1410.g16114.1, QX1410.g1612.1, QX1410.g16126.1, QX1410.g16141.1, QX1410.g16191.1, QX1410.g16326.1, QX1410.g16342.1, QX1410.g16556.1, QX1410.g16700.1, QX1410.g16751.1, QX1410.g168.1, QX1410.g16812.1, QX1410.g16858.1, QX1410.g16967.1, QX1410.g17032.1, QX1410.g1707.1, QX1410.g17083.1, QX1410.g17099.1, QX1410.g17137.1, QX1410.g17169.1, QX1410.g17194.1, QX1410.g17301.1, QX1410.g17354.1, QX1410.g17412.1, QX1410.g17414.1, QX1410.g17492.1, QX1410.g17621.1, QX1410.g17642.1, QX1410.g17660.1, QX1410.g17693.2, QX1410.g17751.2, QX1410.g17759.1, QX1410.g17901.1, QX1410.g18155.2, QX1410.g18196.1, QX1410.g18208.1, QX1410.g18217.1, QX1410.g18223.1, QX1410.g18351.1, QX1410.g18403.1, QX1410.g18483.1, QX1410.g18532.1, QX1410.g1857.1, QX1410.g18604.1, QX1410.g18607.1, QX1410.g18611.1, QX1410.g18670.1, QX1410.g18688.1, QX1410.g18699.1, QX1410.g18716.1, QX1410.g18742.1, QX1410.g18769.1, QX1410.g18770.1, QX1410.g18777.1, QX1410.g18804.1, QX1410.g1904.2, QX1410.g19109.1, QX1410.g19126.1, QX1410.g19136.1, QX1410.g19158.1, QX1410.g19184.1, QX1410.g19249.1, QX1410.g19267.1, QX1410.g19270.1, QX1410.g19272.1, QX1410.g19315.1, QX1410.g19325.1, QX1410.g19373.1, QX1410.g19374.1, QX1410.g1945.1, QX1410.g19454.1, QX1410.g19469.1, QX1410.g19502.1, QX1410.g19505.1, QX1410.g19513.1, QX1410.g1953.1, QX1410.g1956.1, QX1410.g19603.1, QX1410.g19623.1, QX1410.g19638.1, QX1410.g19696.1, QX1410.g19757.1, QX1410.g19780.1, QX1410.g19797.1, QX1410.g20040.1, QX1410.g2032.1, QX1410.g20378.1, QX1410.g20384.1, QX1410.g20532.1, QX1410.g2057.1, QX1410.g2079.1, QX1410.g20985.1, QX1410.g21363.1, QX1410.g21417.1, QX1410.g21424.1, QX1410.g21436.1, QX1410.g21445.1, QX1410.g21597.1, QX1410.g21605.1, QX1410.g21658.1, QX1410.g21698.1, QX1410.g2180.1, QX1410.g2184.1, QX1410.g22109.1, QX1410.g2391.1, QX1410.g2471.1, QX1410.g2676.1, QX1410.g2702.1, QX1410.g279.1, QX1410.g3024.1, QX1410.g3042.1, QX1410.g3184.1, QX1410.g3474.1, QX1410.g3479.1, QX1410.g352.1, QX1410.g3543.1, QX1410.g3674.1, QX1410.g3685.1, QX1410.g3805.1, QX1410.g3822.1, QX1410.g3827.1, QX1410.g3828.1, QX1410.g3834.1, QX1410.g4009.1, QX1410.g4100.1, QX1410.g4116.1, QX1410.g4142.1, QX1410.g4143.1, QX1410.g4183.1, QX1410.g4194.1, QX1410.g4207.1, QX1410.g4330.1, QX1410.g4428.1, QX1410.g4764.1, QX1410.g4805.1, QX1410.g4823.1, QX1410.g4951.1, QX1410.g5139.1, QX1410.g5140.1, QX1410.g519.1, QX1410.g5329.1, QX1410.g5462.1, QX1410.g5481.1, QX1410.g5687.1, QX1410.g5865.1, QX1410.g5973.1, QX1410.g6096.1, QX1410.g6140.1, QX1410.g6285.1, QX1410.g6535.1, QX1410.g6558.1, QX1410.g6623.1, QX1410.g6636.1, QX1410.g6875.1, QX1410.g6881.2, QX1410.g7045.1, QX1410.g7168.1, QX1410.g7240.1, QX1410.g7241.1, QX1410.g7515.1, QX1410.g7516.1, QX1410.g761.1, QX1410.g768.1, QX1410.g7714.1, QX1410.g7742.1, QX1410.g7839.1, QX1410.g8215.1, QX1410.g8254.1, QX1410.g8264.1, QX1410.g8319.1, QX1410.g8635.1, QX1410.g8685.1, QX1410.g874.1, QX1410.g8851.1, QX1410.g8974.1, QX1410.g8976.1, QX1410.g8991.1, QX1410.g9086.1, QX1410.g9087.1, QX1410.g9097.1, QX1410.g9104.1, QX1410.g919.1, QX1410.g9540.1, QX1410.g9560.1, QX1410.g989.1	CBG03532.1, CBG07583.1, CBG08644.1	C05G5.2a.1, C13D9.1.1
OG0000001	NA	NA	B0294.3.1, C17B7.11.1, C39B5.3.1, C39B5.4.1, C39B5.7.1, C39B5.9.1, F07G6.6.1, F07G6.7.1, F09C6.15.1, F09C6.2.1, F09C6.6.1, F10A3.3.1, F31F4.15a.1, F42G2.8.1, F52D2.1.1, F54B8.3.1, F54D10.2.1, H03G16.4.1, T06E6.15.1, T08E11.7.1, T12B5.1.1, T12B5.10.1, T12B5.11.1, T12B5.2.1, T12B5.3.2, T12B5.4.1, T12B5.5.1, T12B5.6b.1, T12B5.7.1, T12B5.8.1, T13F3.5.1, T20H9.1.1, T20H9.2.1, T20H9.3.1, T20H9.4.1, T24C2.4.1, T25E12.12.1, T28A11.21.1, Y119D3A.1.1, Y119D3A.2.1, Y119D3A.3.1, Y119D3A.4.1, Y119D3B.19.1, Y119D3B.22.1, Y119D3B.4.1, Y119D3B.6.1, Y119D3B.7.1, Y119D3B.8.1, Y119D3B.9.1, Y22D7AR.11.2, Y22D7AR.2.1, Y22D7AR.9.1, Y47D3A.2.2, Y54F10BL.1.1, Y54F10BM.10.1, Y54F10BM.11.2, Y54F10BM.15.1, Y54F10BM.20.1, Y54F10BM.4.1, Y54F10BM.5.1, Y54F10BM.7.1, Y59E1A.1.1, Y67A10A.5.1, Y82E9BL.10.1, Y82E9BL.11.1, Y82E9BL.13.1, Y82E9BL.14.1, Y82E9BL.15.1, Y82E9BL.17.1, Y82E9BL.18.1, Y82E9BL.19.1, Y82E9BL.4.1, Y82E9BL.7.1, Y82E9BL.8.1, Y82E9BR.12.1, ZC47.13a.1, ZC47.14.1, ZC47.3.2, ZC47.4.1, ZC47.5.1, ZC47.6.1, ZC47.7.1, cTel54X.1.1, cTel54X.2.1
OG0000002	QX1410.g10719.1, QX1410.g10793.1, QX1410.g10917.1, QX1410.g11081.1, QX1410.g11155.1, QX1410.g11156.1, QX1410.g11529.1, QX1410.g12010.1, QX1410.g1234.1, QX1410.g1236.1, QX1410.g13211.1, QX1410.g1324.1, QX1410.g14197.1, QX1410.g14287.1, QX1410.g14750.1, QX1410.g1491.1, QX1410.g15039.3, QX1410.g15507.1, QX1410.g1556.1, QX1410.g15679.1, QX1410.g15709.2, QX1410.g16427.1, QX1410.g16428.1, QX1410.g1677.1, QX1410.g16969.1, QX1410.g1787.1, QX1410.g18275.1, QX1410.g18365.1, QX1410.g18546.1, QX1410.g18619.1, QX1410.g18781.2, QX1410.g18939.1, QX1410.g19819.1, QX1410.g19918.1, QX1410.g20172.1, QX1410.g20836.1, QX1410.g21089.1, QX1410.g21523.1, QX1410.g21703.1, QX1410.g21704.1, QX1410.g2178.1, QX1410.g2973.1, QX1410.g3029.1, QX1410.g3886.1, QX1410.g3948.1, QX1410.g4042.1, QX1410.g4136.1, QX1410.g4189.1, QX1410.g4293.1, QX1410.g4328.1, QX1410.g4449.1, QX1410.g4450.1, QX1410.g4459.1, QX1410.g4521.1, QX1410.g476.1, QX1410.g4973.1, QX1410.g506.2, QX1410.g5160.1, QX1410.g556.1, QX1410.g6136.1, QX1410.g7353.1, QX1410.g7677.1, QX1410.g7687.1, QX1410.g813.1, QX1410.g814.2, QX1410.g8216.1, QX1410.g8217.1, QX1410.g8322.1, QX1410.g8666.1, QX1410.g8945.1, QX1410.g901.1, QX1410.g959.1, QX1410.g960.1	NA	NA
OG0000003	NA	NA	B0391.11a.1, B0391.5.1, B0391.6.1, B0391.9.1, C02H6.2.1, C08E3.10a.1, C08E3.12.1, C08E3.6.1, C08E3.7.1, C08E3.8.1, C08E3.9.1, C08F11.5a.1, C31C9.3.1, C31C9.8.1, C36C9.3.1, C38D9.1.1, C38D9.6.1, C38D9.7.1, C38D9.9.1, F09C3.4.1, F10A3.17.1, F10A3.2.1, F14H3.7.1, F31E9.3.1, F35E12.3.1, F36G9.14.1, F44G3.12.1, F44G3.14.1, F44G3.8b.1, F45C12.8.1, F47H4.4.1, F47H4.8.1, F47H4.9.1, F56C3.2.1, F57G4.10.1, F57G4.8.1, K03D7.7.1, K10G4.10.1, M162.11.1, T06C12.4.1, T06E6.13.1, T09F5.11.1, W04E12.1.1, Y102A5C.1.1, Y102A5C.19.1, Y36E3A.1.1, Y37H2A.12a.1, Y37H2A.18.1, Y37H2A.5b.1, Y37H2A.6.1, Y37H2A.7.1, Y37H2C.3.1, Y38A10A.4.1, Y45F10C.3.1, Y47H9C.10.1, Y47H9C.12.1, Y61B8A.4.1, Y67A10A.4.2, Y73B3A.15.1, Y73B3A.22.1, Y75B12B.1b.1, Y75B8A.21.1, Y9C9A.12.1, Y9C9A.8.1, ZK1290.9.1
OG0000004	QX1410.g10076.1, QX1410.g10162.1, QX1410.g10211.1, QX1410.g10218.1, QX1410.g10222.1, QX1410.g13521.1, QX1410.g18957.1, QX1410.g2302.1, QX1410.g9616.1, QX1410.g9682.1, QX1410.g9685.1, QX1410.g9702.1, QX1410.g9715.1, QX1410.g9716.1, QX1410.g9930.1	CBG00337.1, CBG02283.1, CBG02296.1, CBG02389.1, CBG02432.1, CBG02544.1, CBG02775.1, CBG02788.1, CBG02876.1, CBG02877.1, CBG04545.1, CBG04546.1, CBG09951.1, CBG09953.1, CBG20609.1, CBG20617.1, CBG23417.1, CBG25598.1, CBG25599.1, CBG31042.1	C04G2.4.1, C33F10.9.1, C34F11.4.1, F26G1.7.1, F32B6.6.1, F36H12.7.1, F58A6.8.1, K05F1.2.1, K07F5.1.1, K07F5.2.1, K07F5.3.1, R05F9.13.1, R05F9.8.1, R13H9.4.1, T13F2.10.1, T13F2.11.1, Y59E9AR.1.1, Y59E9AR.7.1, Y59H11AM.1.1, ZK1248.6.1, ZK1251.6.1, ZK354.1.1, ZK354.11.1, ZK354.4.1, ZK354.5.1, ZK546.6.1
OG0000005	NA	NA	C08F8.15.1, C08F8.5.1, C16C4.6.1, C33E10.1.1, C33E10.8.1, C33F10.13.1, C41H7.8.1, C44B9.6.1, C52E2.1.1, C52E2.6.1, C52E2.7.1, E04A4.1.1, F07E5.1.1, F08D12.10.1, F08D12.11.1, F08D12.15.1, F08D12.6.1, F08D12.8.1, F08D12.9.1, F09C3.3.1, F09C3.5.1, F15A4.13.1, F15E6.5.1, F29A7.1a.1, F29A7.2.1, F30B5.11.1, F38H4.2.1, F40F4.1.1, F49B2.1.1, F49B2.2.1, F49B2.7.1, F53C3.2.1, H02I12.2.1, H24O09.2.1, K08E4.8.1, M01D1.12.1, M116.1.1, M116.4.1, R07H5.7.1, R08C7.13.1, R08C7.9.1, R17.1.1, T02G5.14.1, T17A3.3.1, T17A3.4.1, T17A3.6.1, T17A3.7.1, W03D2.2.1, Y17G9B.2.1, Y17G9B.7a.1, Y40B1B.3.1, Y41D4A.3.1, Y49F6B.3.1, Y49F6B.7.1, Y63D3A.10.1, Y63D3A.2.1, Y63D3A.3.1, Y63D3A.9a.1, Y8A9A.5.1, ZK909.5.1
OG0000006	QX1410.g10762.1, QX1410.g11050.1, QX1410.g11621.1, QX1410.g12457.1, QX1410.g12724.1, QX1410.g12726.1, QX1410.g13227.1, QX1410.g13699.1, QX1410.g16027.1, QX1410.g16039.1, QX1410.g16148.1, QX1410.g16170.1, QX1410.g16249.1, QX1410.g16504.1, QX1410.g16597.1, QX1410.g16618.1, QX1410.g16890.1, QX1410.g16976.1, QX1410.g17014.1, QX1410.g17180.1, QX1410.g17202.1, QX1410.g17204.1, QX1410.g17229.1, QX1410.g17405.1, QX1410.g17410.1, QX1410.g17449.1, QX1410.g17478.1, QX1410.g17653.1, QX1410.g17764.1, QX1410.g17786.1, QX1410.g17804.1, QX1410.g19197.1, QX1410.g19411.1, QX1410.g19573.1, QX1410.g19588.1, QX1410.g19999.1, QX1410.g21285.1, QX1410.g21586.1, QX1410.g2308.1, QX1410.g3451.1, QX1410.g3802.1, QX1410.g3944.1, QX1410.g4170.1, QX1410.g4281.1, QX1410.g4336.1, QX1410.g4474.1, QX1410.g5668.1, QX1410.g5823.1, QX1410.g7163.1, QX1410.g7477.1, QX1410.g833.2, QX1410.g9226.1, QX1410.g9250.1, QX1410.g9280.1, QX1410.g9335.1, QX1410.g9649.1	NA	NA
OG0000007	QX1410.g13975.1, QX1410.g14000.2, QX1410.g14007.1, QX1410.g14008.1, QX1410.g14009.1, QX1410.g14010.1, QX1410.g14011.1, QX1410.g14012.1, QX1410.g14013.1, QX1410.g14014.2, QX1410.g14015.1, QX1410.g14018.1, QX1410.g14054.1, QX1410.g14055.1, QX1410.g14056.1, QX1410.g14070.1, QX1410.g14072.1, QX1410.g14080.1, QX1410.g14081.1, QX1410.g14082.2, QX1410.g18587.1, QX1410.g18589.1, QX1410.g18590.1, QX1410.g18591.1, QX1410.g18592.1, QX1410.g18593.1, QX1410.g18594.1, QX1410.g6368.1	CBG03549.1, CBG03581a.1, CBG03582.1, CBG03584.1, CBG03586.1, CBG03590.1, CBG03591.1, CBG03637.1, CBG10180.1, CBG10181.2, CBG10183.1, CBG11950.1, CBG20199.1, CBG20200.1, CBG20201.1, CBG20210.1, CBG20212.1, CBG26123.1, CBG26125.1, CBG26132.1, CBG26133.1, CBG30239.1, CBG30314.1, CBG30770.1, CBG30773.1, CBG30774.1	NA
OG0000008	QX1410.g10054.1, QX1410.g10167.1, QX1410.g1075.1, QX1410.g10770.1, QX1410.g10842.1, QX1410.g10878.1, QX1410.g10882.1, QX1410.g10974.1, QX1410.g11012.1, QX1410.g11187.1, QX1410.g1132.1, QX1410.g11343.1, QX1410.g13085.1, QX1410.g13936.1, QX1410.g14527.1, QX1410.g17548.1, QX1410.g17752.1, QX1410.g17962.1, QX1410.g18791.2, QX1410.g1897.1, QX1410.g19121.1, QX1410.g19208.1, QX1410.g19435.1, QX1410.g19507.1, QX1410.g19508.1, QX1410.g19560.1, QX1410.g1964.1, QX1410.g19718.1, QX1410.g20387.1, QX1410.g20490.1, QX1410.g20493.1, QX1410.g20494.1, QX1410.g20496.1, QX1410.g21101.1, QX1410.g21547.1, QX1410.g21691.1, QX1410.g2335.1, QX1410.g2337.1, QX1410.g2943.1, QX1410.g4047.1, QX1410.g5312.1, QX1410.g541.1, QX1410.g5538.1, QX1410.g5539.1, QX1410.g7259.1, QX1410.g776.2, QX1410.g9229.1, QX1410.g9541.1, QX1410.g9834.1	NA	NA
OG0000009	QX1410.g10725.1, QX1410.g1080.1, QX1410.g11570.1, QX1410.g12983.1, QX1410.g1357.1, QX1410.g13888.2, QX1410.g14647.1, QX1410.g1474.1, QX1410.g14748.1, QX1410.g1502.1, QX1410.g1562.1, QX1410.g16015.1, QX1410.g16113.1, QX1410.g16182.1, QX1410.g16222.1, QX1410.g16301.1, QX1410.g16302.1, QX1410.g16550.2, QX1410.g17086.1, QX1410.g17175.1, QX1410.g17329.1, QX1410.g17635.1, QX1410.g17762.1, QX1410.g1795.1, QX1410.g18439.1, QX1410.g18536.1, QX1410.g18718.1, QX1410.g18719.1, QX1410.g18934.1, QX1410.g19113.2, QX1410.g19400.2, QX1410.g19619.1, QX1410.g19749.1, QX1410.g19827.1, QX1410.g2068.1, QX1410.g2069.1, QX1410.g21368.1, QX1410.g21566.1, QX1410.g3993.1, QX1410.g4094.1, QX1410.g4210.1, QX1410.g4308.1, QX1410.g8384.1, QX1410.g8664.1, QX1410.g9727.1, QX1410.g9755.1	NA	NA
